wavelength	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	
nm	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	
65_SpecRad.txt	 2.000000 ns	 2.800000 ns	 3.600000 ns	 4.400000 ns	 5.200000 ns	 6.000000 ns	 6.800000 ns	 7.600000 ns	 8.400000 ns	 9.200000 ns	 11.200000 ns	 13.200000 ns	 15.200000 ns	 18.000000 ns	 21.200000 ns	 25.200000 ns	 30.000000 ns	 35.200000 ns	 41.200000 ns	 48.400000 ns	 56.800000 ns	 66.800000 ns	 78.800000 ns	 92.800000 ns	 109.200000 ns	 128.800000 ns	 152.000000 ns	 178.800000 ns	 210.400000 ns	 248.000000 ns	 292.400000 ns	 344.800000 ns	 406.400000 ns	 478.800000 ns	 564.400000 ns	 665.600000 ns	 784.400000 ns	 924.400000 ns	 1089.600000 ns	 1284.400000 ns	 1514.000000 ns	 1784.400000 ns	 2103.600000 ns	 2479.600000 ns	 2922.800000 ns	 3445.200000 ns	 4060.800000 ns	 4786.800000 ns	 5642.800000 ns	 6651.600000 ns	 7840.400000 ns	 9242.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	
444.69	2.4449e+08	-2.7509e+08	1.1459e+08	1.1459e+08	-1.452e+08	5.0428e+08	-1.452e+08	1.2837e+09	1.0239e+09	2.063e+09	3.2264e+10	5.2073e+10	4.035e+10	3.0666e+10	2.2223e+10	1.4626e+10	8.2052e+09	6.3334e+09	4.7331e+09	3.2911e+09	1.511e+09	1.8898e+09	-3.8224e+07	8.3552e+08	5.5511e+08	-2.9219e+07	9.8733e+08	7.2466e+07	5.8104e+08	1.3458e+08	3.4457e+08	1.5723e+09	1.0703e+09	2.3976e+09	9.9944e+08	1.2808e+09	1.2086e+09	1.5523e+09	1.083e+09	9.7485e+08	1.8087e+09	1.3778e+09	1.1088e+09	5.2112e+08	2.795e+08	3.4407e+08	4.2423e+08	5.3745e+08	3.8223e+08	4.8078e+08	4.4817e+08	3.5473e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454.63	-1.4334e+08	-3.893e+08	3.4857e+08	-1.4334e+08	1.0261e+08	-2.0365e+07	-2.6632e+08	1.0261e+08	2.3162e+09	2.5622e+09	3.0878e+10	5.7124e+10	4.6251e+10	3.6947e+10	2.0296e+10	1.2664e+10	5.2326e+09	3.7151e+09	2.2206e+09	1.1871e+09	2.8708e+08	1.2914e+09	1.506e+09	1.1971e+09	-9.6715e+06	7.4826e+08	8.6739e+08	4.5493e+08	2.6193e+08	6.4774e+07	4.8163e+08	1.165e+09	1.4891e+09	2.3697e+09	1.6099e+09	1.7352e+09	1.2247e+09	1.4567e+09	1.4274e+09	1.2117e+09	1.8761e+09	1.7962e+09	1.4284e+09	6.8828e+08	4.1446e+08	4.1659e+08	5.239e+08	4.937e+08	5.0699e+08	4.4741e+08	3.7112e+08	2.901e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
464.25	-2.4274e+08	-2.4274e+08	4.0404e+08	-2.7143e+07	-1.3494e+08	8.0653e+07	1.0508e+09	7.2743e+08	4.0404e+08	4.0404e+08	2.2341e+10	4.2337e+10	3.7136e+10	2.759e+10	2.2351e+10	1.0013e+10	8.5657e+09	5.9555e+09	2.5719e+09	3.2165e+09	2.533e+09	1.0077e+09	7.4645e+08	7.8133e+08	7.7898e+08	1.8845e+08	5.7073e+07	7.8178e+06	1.713e+08	1.9881e+08	1.1957e+09	8.2475e+08	1.4384e+09	2.8834e+09	1.5493e+09	1.8062e+09	1.6045e+09	1.3313e+09	1.0484e+09	1.1948e+09	2.2854e+09	2.1194e+09	1.4601e+09	7.2235e+08	4.7345e+08	4.2828e+08	4.8431e+08	5.3816e+08	5.0654e+08	4.9146e+08	4.6943e+08	4.2166e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
473.44	-1.8093e+08	1.317e+07	1.1022e+08	-8.3881e+07	-8.3881e+07	-8.3881e+07	1.1022e+08	1.317e+07	-8.3881e+07	1.9542e+09	2.7673e+10	4.3751e+10	4.7326e+10	3.369e+10	1.9093e+10	1.3157e+10	8.1516e+09	7.8501e+09	4.154e+09	2.1042e+09	1.1697e+09	1.3784e+09	4.1279e+08	9.4486e+08	8.4443e+08	4.3257e+08	4.7416e+08	5.64e+08	7.609e+08	4.5923e+08	2.2796e+08	8.6372e+08	2.6694e+09	3.1404e+09	2.0031e+09	2.0245e+09	2.3798e+09	1.8663e+09	1.738e+09	1.5729e+09	2.1055e+09	2.6137e+09	1.5922e+09	8.8205e+08	4.889e+08	6.6384e+08	6.0746e+08	5.78e+08	5.5604e+08	4.3778e+08	4.7231e+08	4.9316e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483.56	-3.1643e+08	-2.5834e+07	7.1032e+07	-2.5834e+07	-2.5834e+07	-2.5834e+07	7.1032e+07	1.679e+08	2.6476e+08	8.4596e+08	2.4772e+10	4.9214e+10	4.4242e+10	3.2366e+10	2.2486e+10	1.979e+10	1.312e+10	6.779e+09	5.657e+09	1.2775e+09	9.4283e+08	4.2621e+08	6.0664e+08	4.6334e+08	1.9738e+08	4.3082e+08	2.4055e+08	-4.8902e+06	2.7137e+08	9.3538e+08	5.0772e+08	1.1419e+09	2.8732e+09	4.2813e+09	1.7575e+09	2.2098e+09	2.2346e+09	1.8516e+09	1.3415e+09	1.7159e+09	2.2787e+09	2.6711e+09	1.5334e+09	8.3264e+08	6.6335e+08	6.2305e+08	5.815e+08	6.4021e+08	4.8984e+08	5.516e+08	5.0413e+08	4.9756e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
492.75	3.9716e+07	-1.5031e+08	-5.5299e+07	-3.4034e+08	3.9716e+07	-5.5299e+07	1.3473e+08	-1.5031e+08	3.9716e+07	-5.5299e+07	2.0634e+10	3.7539e+10	3.6977e+10	3.3105e+10	1.9765e+10	1.4808e+10	1.1143e+10	4.3273e+09	4.4104e+09	3.5553e+09	2.2726e+09	5.8447e+08	3.1358e+08	4.3878e+08	7.544e+08	3.7906e+08	1.6442e+08	4.3775e+08	4.1546e+08	7.5781e+08	7.0015e+08	1.1179e+09	2.682e+09	4.7588e+09	2.8317e+09	2.1314e+09	2.1295e+09	1.848e+09	1.484e+09	1.7819e+09	2.9458e+09	2.8112e+09	1.5573e+09	9.8184e+08	5.8167e+08	7.8761e+08	7.5279e+08	6.4905e+08	6.0669e+08	5.4563e+08	5.9186e+08	5.4134e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
500.81	2.6798e+08	1.7609e+08	-9.9596e+07	2.6798e+08	1.7609e+08	-9.9596e+07	-9.9596e+07	8.4194e+07	-7.7008e+06	2.9329e+09	3.0708e+10	5.1423e+10	4.1644e+10	2.8333e+10	1.9933e+10	1.48e+10	1.3882e+10	4.6445e+09	2.6777e+09	2.1059e+09	1.2099e+09	2.4918e+09	1.4518e+09	6.4475e+08	6.076e+08	5.929e+08	1.5599e+08	4.9423e+07	4.9354e+08	5.0126e+08	6.6117e+08	1.5111e+09	3.132e+09	5.0354e+09	2.4177e+09	3.4617e+09	2.7868e+09	1.9524e+09	1.7133e+09	1.5181e+09	2.9453e+09	3.3055e+09	1.9554e+09	8.6702e+08	6.7364e+08	6.9158e+08	7.0608e+08	7.7392e+08	6.8575e+08	7.2672e+08	6.403e+08	5.6871e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
509.5	1.8359e+08	9.3063e+07	1.8359e+08	-1.7852e+08	-8.7993e+07	2.5348e+06	-1.7852e+08	2.5348e+06	9.3063e+07	2.5348e+06	3.2615e+10	5.1936e+10	4.9951e+10	3.0004e+10	1.8126e+10	1.8212e+10	1.0956e+10	7.1769e+09	3.2113e+09	1.6156e+09	1.6999e+09	1.119e+09	1.5164e+08	7.1318e+08	3.6465e+08	3.3232e+08	9.5874e+08	2.9125e+08	3.6876e+08	5.5441e+08	1.353e+09	1.5403e+09	3.8317e+09	5.2376e+09	3.1532e+09	3.2327e+09	2.8781e+09	2.8397e+09	1.9489e+09	2.0304e+09	3.7584e+09	3.4651e+09	2.2346e+09	9.5317e+08	6.8504e+08	8.9924e+08	7.4673e+08	6.8486e+08	6.5646e+08	6.7264e+08	5.9252e+08	6.0598e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
518.88	-1.6611e+08	-5.5929e+07	1.6444e+08	5.4254e+07	1.6444e+08	5.4254e+07	1.6444e+08	1.0459e+09	1.4866e+09	8.2553e+08	3.3412e+10	5.1326e+10	5.0986e+10	3.5357e+10	2.2421e+10	1.6708e+10	1.1293e+10	6.1694e+09	3.9351e+09	2.7888e+09	8.1635e+08	8.843e+08	9.4868e+08	7.429e+08	5.8122e+08	3.6119e+08	4.9154e+08	4.116e+08	5.7261e+08	1.1243e+09	1.176e+09	1.9978e+09	3.7585e+09	5.579e+09	3.8193e+09	3.4723e+09	3.3317e+09	2.5325e+09	2.4861e+09	2.0118e+09	3.9588e+09	3.7665e+09	2.2472e+09	1.1611e+09	8.7357e+08	1.0336e+09	9.1194e+08	9.1408e+08	8.8571e+08	7.7944e+08	7.7835e+08	6.8393e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
529	-3.4344e+08	-2.1991e+08	2.7152e+07	2.7152e+07	-2.1991e+08	2.7152e+07	2.7422e+08	6.4481e+08	3.9775e+08	1.0154e+09	2.3251e+10	5.117e+10	4.8328e+10	3.5086e+10	2.3721e+10	1.3739e+10	1.1074e+10	7.4854e+09	4.4606e+09	3.5197e+09	3.136e+09	1.3778e+09	5.6488e+08	5.6452e+08	6.0185e+08	6.3599e+08	2.9738e+08	5.4465e+08	7.9081e+08	8.3724e+08	1.2037e+09	1.8441e+09	3.3287e+09	6.205e+09	4.1586e+09	4.0482e+09	3.1515e+09	3.1265e+09	2.6395e+09	2.5393e+09	4.3309e+09	4.0398e+09	2.5138e+09	1.4474e+09	8.4501e+08	9.7452e+08	1.1455e+09	9.2229e+08	8.5692e+08	7.8889e+08	8.4336e+08	7.5949e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
