Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	
ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	
1_Ch1.txt	 1_Ch1.txt	 2_Ch1.txt	 2_Ch1.txt	 3_Ch1.txt	 3_Ch1.txt	 4_Ch1.txt	 4_Ch1.txt	 5_Ch1.txt	 5_Ch1.txt	 6_Ch1.txt	 6_Ch1.txt	
-320.62	0	-326.02	0	-319.9	0	-235.34	0	-320.9	0	-326.98	0
-320.54	0	-325.94	0	-319.82	0	-235.26	0	-320.82	0	-326.9	0
-320.46	0	-325.86	0	-319.74	0	-235.18	0	-320.74	0	-326.82	0
-320.38	0	-325.78	0	-319.66	0	-235.1	0	-320.66	0	-326.74	0
-320.3	0	-325.7	0	-319.58	0	-235.02	0	-320.58	0	-326.66	0
-320.22	0	-325.62	0	-319.5	0	-234.94	0	-320.5	0	-326.58	0
-320.14	0	-325.54	0	-319.42	0	-234.86	0	-320.42	0	-326.5	0
-320.06	0	-325.46	0	-319.34	0	-234.78	0	-320.34	0	-326.42	0
-319.98	0	-325.38	0	-319.26	0	-234.7	0	-320.26	0	-326.34	0
-319.9	0	-325.3	0	-319.18	0	-234.62	0	-320.18	0	-326.26	0
-319.82	0	-325.22	0	-319.1	0	-234.54	0	-320.1	0	-326.18	0
-319.74	0	-325.14	0	-319.02	0	-234.46	0	-320.02	0	-326.1	0
-319.66	0	-325.06	0	-318.94	0	-234.38	0	-319.94	0	-326.02	0
-319.58	0	-324.98	0	-318.86	0	-234.3	0	-319.86	0	-325.94	0
-319.5	0	-324.9	0	-318.78	0	-234.22	0	-319.78	0	-325.86	0
-319.42	0	-324.82	0	-318.7	0	-234.14	0	-319.7	0	-325.78	0
-319.34	0	-324.74	0	-318.62	0	-234.06	0	-319.62	0	-325.7	0
-319.26	0	-324.66	0	-318.54	0	-233.98	0	-319.54	0	-325.62	0
-319.18	0	-324.58	0	-318.46	0	-233.9	0	-319.46	0	-325.54	0
-319.1	0	-324.5	0	-318.38	0	-233.82	0	-319.38	0	-325.46	0
-319.02	0	-324.42	0	-318.3	0	-233.74	0	-319.3	0	-325.38	0
-318.94	0	-324.34	0	-318.22	0	-233.66	0	-319.22	0	-325.3	0
-318.86	0	-324.26	0	-318.14	0	-233.58	0	-319.14	0	-325.22	0
-318.78	0	-324.18	0	-318.06	0	-233.5	0	-319.06	0	-325.14	0
-318.7	0	-324.1	0	-317.98	0	-233.42	0	-318.98	0	-325.06	0
-318.62	0	-324.02	0	-317.9	0	-233.34	0	-318.9	0	-324.98	0
-318.54	0	-323.94	0	-317.82	0	-233.26	0	-318.82	0	-324.9	0
-318.46	0	-323.86	0	-317.74	0	-233.18	0	-318.74	0	-324.82	0
-318.38	0	-323.78	0	-317.66	0	-233.1	0	-318.66	0	-324.74	0
-318.3	0	-323.7	0	-317.58	0	-233.02	0	-318.58	0	-324.66	0
-318.22	0	-323.62	0	-317.5	0	-232.94	0	-318.5	0	-324.58	0
-318.14	0	-323.54	0	-317.42	0	-232.86	0	-318.42	0	-324.5	0
-318.06	0	-323.46	0	-317.34	0	-232.78	0	-318.34	0	-324.42	0
-317.98	0	-323.38	0	-317.26	0	-232.7	0	-318.26	0	-324.34	0
-317.9	0	-323.3	0	-317.18	0	-232.62	0	-318.18	0	-324.26	0
-317.82	0	-323.22	0	-317.1	0	-232.54	0	-318.1	0	-324.18	0
-317.74	0	-323.14	0	-317.02	0	-232.46	0	-318.02	0	-324.1	0
-317.66	0	-323.06	0	-316.94	0	-232.38	0	-317.94	0	-324.02	0
-317.58	0	-322.98	0	-316.86	0	-232.3	0	-317.86	0	-323.94	0
-317.5	0	-322.9	0	-316.78	0	-232.22	0	-317.78	0	-323.86	0
-317.42	0	-322.82	0	-316.7	0	-232.14	0	-317.7	0	-323.78	0
-317.34	0	-322.74	0	-316.62	0	-232.06	0	-317.62	0	-323.7	0
-317.26	0	-322.66	0	-316.54	0	-231.98	0	-317.54	0	-323.62	0
-317.18	0	-322.58	0	-316.46	0	-231.9	0	-317.46	0	-323.54	0
-317.1	0	-322.5	0	-316.38	0	-231.82	0	-317.38	0	-323.46	0
-317.02	0	-322.42	0	-316.3	0	-231.74	0	-317.3	0	-323.38	0
-316.94	0	-322.34	0	-316.22	0	-231.66	0	-317.22	0	-323.3	0
-316.86	0	-322.26	0	-316.14	0	-231.58	0	-317.14	0	-323.22	0
-316.78	0	-322.18	0	-316.06	0	-231.5	0	-317.06	0	-323.14	0
-316.7	0	-322.1	0	-315.98	0	-231.42	0	-316.98	0	-323.06	0
-316.62	0	-322.02	0	-315.9	0	-231.34	0	-316.9	0	-322.98	0
-316.54	0	-321.94	0	-315.82	0	-231.26	0	-316.82	0	-322.9	0
-316.46	0	-321.86	0	-315.74	0	-231.18	0	-316.74	0	-322.82	0
-316.38	0	-321.78	0	-315.66	0	-231.1	0	-316.66	0	-322.74	0
-316.3	0	-321.7	0	-315.58	0	-231.02	0	-316.58	0	-322.66	0
-316.22	0	-321.62	0	-315.5	0	-230.94	0	-316.5	0	-322.58	0
-316.14	0	-321.54	0	-315.42	0	-230.86	0	-316.42	0	-322.5	0
-316.06	0	-321.46	0	-315.34	0	-230.78	0	-316.34	0	-322.42	0
-315.98	0	-321.38	0	-315.26	0	-230.7	0	-316.26	0	-322.34	0
-315.9	0	-321.3	0	-315.18	0	-230.62	0	-316.18	0	-322.26	0
-315.82	0	-321.22	0	-315.1	0	-230.54	0	-316.1	0	-322.18	0
-315.74	0	-321.14	0	-315.02	0	-230.46	0	-316.02	0	-322.1	0
-315.66	0	-321.06	0	-314.94	0	-230.38	0	-315.94	0	-322.02	0
-315.58	0	-320.98	0	-314.86	0	-230.3	0	-315.86	0	-321.94	0
