Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	
ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	
1_Ch1.txt	 1_Ch1.txt	 2_Ch1.txt	 2_Ch1.txt	 3_Ch1.txt	 3_Ch1.txt	 4_Ch1.txt	 4_Ch1.txt	 5_Ch1.txt	 5_Ch1.txt	 6_Ch1.txt	 6_Ch1.txt	
-164.82	0	-164.74	0	-165.02	0	-163.74	0	-164.1	0	-164.22	0
-164.74	0	-164.66	0	-164.94	0	-163.66	0	-164.02	0	-164.14	0
-164.66	0	-164.58	0	-164.86	0	-163.58	0	-163.94	0	-164.06	0
-164.58	0	-164.5	0	-164.78	0	-163.5	0	-163.86	0	-163.98	0
-164.5	0	-164.42	0	-164.7	0	-163.42	0	-163.78	0	-163.9	0
-164.42	0	-164.34	0	-164.62	0	-163.34	0	-163.7	0	-163.82	0
-164.34	0	-164.26	0	-164.54	0	-163.26	0	-163.62	0	-163.74	0
-164.26	0	-164.18	0	-164.46	0	-163.18	0	-163.54	0	-163.66	0
-164.18	0	-164.1	0	-164.38	0	-163.1	0	-163.46	0	-163.58	0
-164.1	0	-164.02	0	-164.3	0	-163.02	0	-163.38	0	-163.5	0
-164.02	0	-163.94	0	-164.22	0	-162.94	0	-163.3	0	-163.42	0
-163.94	0	-163.86	0	-164.14	0	-162.86	0	-163.22	0	-163.34	0
-163.86	0	-163.78	0	-164.06	0	-162.78	0	-163.14	0	-163.26	0
-163.78	0	-163.7	0	-163.98	0	-162.7	0	-163.06	0	-163.18	0
-163.7	0	-163.62	0	-163.9	0	-162.62	0	-162.98	0	-163.1	0
-163.62	0	-163.54	0	-163.82	0	-162.54	0	-162.9	0	-163.02	0
-163.54	0	-163.46	0	-163.74	0	-162.46	0	-162.82	0	-162.94	0
-163.46	0	-163.38	0	-163.66	0	-162.38	0	-162.74	0	-162.86	0
-163.38	0	-163.3	0	-163.58	0	-162.3	0	-162.66	0	-162.78	0
-163.3	0	-163.22	0	-163.5	0	-162.22	0	-162.58	0	-162.7	0
-163.22	0	-163.14	0	-163.42	0	-162.14	0	-162.5	0	-162.62	0
-163.14	0	-163.06	0	-163.34	0	-162.06	0	-162.42	0	-162.54	0
-163.06	0	-162.98	0	-163.26	0	-161.98	0	-162.34	0	-162.46	0
-162.98	0	-162.9	0	-163.18	0	-161.9	0	-162.26	0	-162.38	0
-162.9	0	-162.82	0	-163.1	0	-161.82	0	-162.18	0	-162.3	0
-162.82	0	-162.74	0	-163.02	0	-161.74	0	-162.1	0	-162.22	0
-162.74	0	-162.66	0	-162.94	0	-161.66	0	-162.02	0	-162.14	0
-162.66	0	-162.58	0	-162.86	0	-161.58	0	-161.94	0	-162.06	0
-162.58	0	-162.5	0	-162.78	0	-161.5	0	-161.86	0	-161.98	0
-162.5	0	-162.42	0	-162.7	0	-161.42	0	-161.78	0	-161.9	0
-162.42	0	-162.34	0	-162.62	0	-161.34	0	-161.7	0	-161.82	0
-162.34	0	-162.26	0	-162.54	0	-161.26	0	-161.62	0	-161.74	0
-162.26	0	-162.18	0	-162.46	0	-161.18	0	-161.54	0	-161.66	0
-162.18	0	-162.1	0	-162.38	0	-161.1	0	-161.46	0	-161.58	0
-162.1	0	-162.02	0	-162.3	0	-161.02	0	-161.38	0	-161.5	0
-162.02	0	-161.94	0	-162.22	0	-160.94	0	-161.3	0	-161.42	0
-161.94	0	-161.86	0	-162.14	0	-160.86	0	-161.22	0	-161.34	0
-161.86	0	-161.78	0	-162.06	0	-160.78	0	-161.14	0	-161.26	0
-161.78	0	-161.7	0	-161.98	0	-160.7	0	-161.06	0	-161.18	0
-161.7	0	-161.62	0	-161.9	0	-160.62	0	-160.98	0	-161.1	0
-161.62	0	-161.54	0	-161.82	0	-160.54	0	-160.9	0	-161.02	0
-161.54	0	-161.46	0	-161.74	0	-160.46	0	-160.82	0	-160.94	0
-161.46	0	-161.38	0	-161.66	0	-160.38	0	-160.74	0	-160.86	0
-161.38	0	-161.3	0	-161.58	0	-160.3	0	-160.66	0	-160.78	0
-161.3	0	-161.22	0	-161.5	0	-160.22	0	-160.58	0	-160.7	0
-161.22	0	-161.14	0	-161.42	0	-160.14	0	-160.5	0	-160.62	0
-161.14	0	-161.06	0	-161.34	0	-160.06	0	-160.42	0	-160.54	0
-161.06	0	-160.98	0	-161.26	0	-159.98	0	-160.34	0	-160.46	0
-160.98	0	-160.9	0	-161.18	0	-159.9	0	-160.26	0	-160.38	0
-160.9	0	-160.82	0	-161.1	0	-159.82	0	-160.18	0	-160.3	0
-160.82	0	-160.74	0	-161.02	0	-159.74	0	-160.1	0	-160.22	0
-160.74	0	-160.66	0	-160.94	0	-159.66	0	-160.02	0	-160.14	0
-160.66	0	-160.58	0	-160.86	0	-159.58	0	-159.94	0	-160.06	0
-160.58	0	-160.5	0	-160.78	0	-159.5	0	-159.86	0	-159.98	0
-160.5	0	-160.42	0	-160.7	0	-159.42	0	-159.78	0	-159.9	0
-160.42	0	-160.34	0	-160.62	0	-159.34	0	-159.7	0	-159.82	0
-160.34	0	-160.26	0	-160.54	0	-159.26	0	-159.62	0	-159.74	0
-160.26	0	-160.18	0	-160.46	0	-159.18	0	-159.54	0	-159.66	0
-160.18	0	-160.1	0	-160.38	0	-159.1	0	-159.46	0	-159.58	0
-160.1	0	-160.02	0	-160.3	0	-159.02	0	-159.38	0	-159.5	0
-160.02	0	-159.94	0	-160.22	0	-158.94	0	-159.3	0	-159.42	0
-159.94	0	-159.86	0	-160.14	0	-158.86	0	-159.22	0	-159.34	0
-159.86	0	-159.78	0	-160.06	0	-158.78	0	-159.14	0	-159.26	0
-159.78	0	-159.7	0	-159.98	0	-158.7	0	-159.06	0	-159.18	0
-159.7	0	-159.62	0	-159.9	0	-158.62	0	-158.98	0	-159.1	0
-159.62	0	-159.54	0	-159.82	0	-158.54	0	-158.9	0	-159.02	0
-159.54	0	-159.46	0	-159.74	0	-158.46	0	-158.82	0	-158.94	0
-159.46	0	-159.38	0	-159.66	0	-158.38	0	-158.74	0	-158.86	0
-159.38	0	-159.3	0	-159.58	0	-158.3	0	-158.66	0	-158.78	0
-159.3	0	-159.22	0	-159.5	0	-158.22	0	-158.58	0	-158.7	0
-159.22	0	-159.14	0	-159.42	0	-158.14	0	-158.5	0	-158.62	0
-159.14	0	-159.06	0	-159.34	0	-158.06	0	-158.42	0	-158.54	0
-159.06	0	-158.98	0	-159.26	0	-157.98	0	-158.34	0	-158.46	0
-158.98	0	-158.9	0	-159.18	0	-157.9	0	-158.26	0	-158.38	0
-158.9	0	-158.82	0	-159.1	0	-157.82	0	-158.18	0	-158.3	0
-158.82	0	-158.74	0	-159.02	0	-157.74	0	-158.1	0	-158.22	0
-158.74	0	-158.66	0	-158.94	0	-157.66	0	-158.02	0	-158.14	0
-158.66	0	-158.58	0	-158.86	0	-157.58	0	-157.94	0	-158.06	0
-158.58	0	-158.5	0	-158.78	0	-157.5	0	-157.86	0	-157.98	0
